Year,Name,Cat,Start_date,End_date
2011,GERT,TS,2011-08-13T06,2011-08-17T18
2011,HARVEY,TS,2011-08-19T00,2011-08-22T12
2011,IRENE,Cat2,2011-08-21T00,2011-08-30T00
2011,TEN,TD,2011-08-25T00,2011-08-27T00
2011,JOSE,TS,2011-08-26T12,2011-08-29T12
2011,KATIA,Cat3,2011-08-28T00,2011-09-12T18
2011,LEE,TS,2011-09-02T00,2011-09-06T18
2011,MARIA,TS,2011-09-06T18,2011-09-16T18
2011,NATE,TS,2011-09-06T18,2011-09-12T00
2011,OPHELIA,Cat3,2011-09-20T06,2011-10-04T12
2011,PHILIPPE,Cat1,2011-09-23T00,2011-10-09T00
2011,RINA,Cat2,2011-10-22T00,2011-10-29T06
2011,SEAN,TS,2011-11-06T00,2011-11-12T18
2012,ALBERTO,TS,2012-05-19T00,2012-05-23T18
2012,BERYL,TS,2012-05-25T12,2012-06-02T00
2012,CHRIS,Cat1,2012-06-17T00,2012-06-24T12
2012,DEBBY,TS,2012-06-23T12,2012-06-27T12
2012,ERNESTO,Cat1,2012-08-01T12,2012-08-10T06
2012,FLORENCE,TS,2012-08-03T06,2012-08-08T06
2012,HELENE,TS,2012-08-09T18,2012-08-19T00
2012,GORDON,Cat1,2012-08-15T12,2012-08-21T12
2012,ISAAC,TS,2012-08-20T12,2012-09-01T06
2012,JOYCE,TD,2012-08-21T18,2012-08-24T12
2012,KIRK,Cat1,2012-08-28T18,2012-09-03T00
2012,LESLIE,TS,2012-08-28T12,2012-09-12T00
2012,MICHAEL,Cat2,2012-09-02T00,2012-09-12T06
2012,NADINE,Cat1,2012-09-10T12,2012-10-04T06
2012,OSCAR,TS,2012-10-02T12,2012-10-05T12
2012,PATTY,TS,2012-10-10T18,2012-10-13T06
2012,RAFAEL,Cat1,2012-10-12T18,2012-10-26T12
2012,SANDY,Cat2,2012-10-21T18,2012-10-31T12
2012,TONY,TS,2012-10-21T18,2012-10-26T12
2013,ANDREA,TS,2013-06-05T18,2013-06-08T18
2013,BARRY,TS,2013-06-16T00,2013-06-21T00
2013,CHANTAL,TS,2013-07-07T12,2013-07-10T12
2013,DORIAN,TS,2013-07-22T18,2013-08-04T06
2013,ERIN,TS,2013-08-15T00,2013-08-19T18
2013,FERNAND,TS,2013-08-25T12,2013-08-26T18
2013,GABRIELLE,TS,2013-09-04T18,2013-09-13T12
2013,EIGHT,TD,2013-09-06T12,2013-09-07T06
2013,HUMBERTO,Cat1,2013-09-08T00,2013-09-19T06
2013,INGRID,Cat1,2013-09-12T06,2013-09-17T06
2013,JERRY,TS,2013-09-28T00,2013-10-06T00
2013,KAREN,TS,2013-10-03T06,2013-10-06T06
2013,LORENZO,TS,2013-10-21T06,2013-10-26T06
2013,MELISSA,TS,2013-11-17T00,2013-11-23T06
2014,ARTHUR,Cat1,2014-06-28T18,2014-07-09T18
2014,TWO,TD,2014-07-19T12,2014-07-23T12
2014,BERTHA,TS,2014-07-29T06,2014-08-09T12
2014,CRISTOBAL,Cat1,2014-08-23T18,2014-09-02T06
2014,DOLLY,TS,2014-09-01T12,2014-09-04T00
2014,EDOUARD,Cat2,2014-09-10T18,2014-09-22T06
2014,FAY,TS,2014-10-10T00,2014-10-13T00
2014,GONZALO,Cat3,2014-10-11T18,2014-10-20T06
2014,HANNA,TD,2014-10-21T00,2014-10-29T18
2015,ANA,TS,2015-05-06T06,2015-05-12T18
2015,BILL,TS,2015-06-16T00,2015-06-21T00
2015,CLAUDETTE,TS,2015-07-12T00,2015-07-15T12
2015,DANNY,Cat2,2015-08-17T00,2015-08-24T12
2015,ERIKA,TS,2015-08-24T18,2015-08-28T12
